order_id,customer_id,customer_name,customer_email,product_name,category,region,state,quantity,unit_price,discount_rate,net_revenue,payment_method,order_date,delivery_days,returned,salesperson_id,year,month,quarter,day_of_week,gross_revenue,comparison
ORD-100033,CUST-16423,Paul Thompson,robert51@example.com,History,Books,Ibadan,Ibadan,4,4900.0,0.0,19600.0,Card,2021-11-23,4,No,SP-030,2021,November,4,Tuesday,19600.0,True
ORD-100034,CUST-11756,Heather Sanchez,heather35@example.org,Tennis Racket,Sports,Port Harcourt,Port Harcourt,1,22700.0,0.05,21565.0,Transfer,2022-04-02,14,No,SP-050,2022,April,2,Saturday,22700.0,False
ORD-100035,CUST-06851,Daniel Hernandez,qellis@example.org,Sunscreen,Health & Beauty,Kaduna,Kaduna,1,4500.0,0.0,4500.0,POS,2022-11-10,5,No,SP-039,2022,November,4,Thursday,4500.0,True
ORD-100036,CUST-13622,Amber Ward,wheelerchristina@example.net,Cookbook,Books,Enugu,Enugu,20,8700.0,0.0,174000.0,POS,2023-06-13,4,No,SP-046,2023,June,2,Tuesday,174000.0,True
ORD-100037,CUST-11819,Ricky Bonilla,ryancampbell@example.com,Fiction Novel,Books,Port Harcourt,Port Harcourt,14,2900.0,0.15,34510.0,POS,2023-01-16,6,No,SP-008,2023,January,1,Monday,40600.0,False
ORD-100038,CUST-05170,Matthew Smith,saranoble@example.org,Perfume,Health & Beauty,Kaduna,Kaduna,13,9800.0,0.1,114660.0,Card,2022-10-31,7,No,SP-025,2022,October,4,Monday,127400.0,False
ORD-100039,CUST-11559,Tracy Barron,molly83@example.com,Energy Drink,Food & Beverage,Kaduna,Kaduna,10,3600.0,0.05,34200.0,USSD,2021-01-01,8,No,SP-014,2021,January,1,Friday,36000.0,False
ORD-100040,CUST-11983,Steven Young,nsanders@example.com,Board Game,Toys,Abuja,Abuja,17,11400.0,0.1,174420.0,Cash,2022-08-05,14,Yes,SP-016,2022,August,3,Friday,193800.0,False
ORD-100041,CUST-03386,Chloe Webb,deleonlinda@example.org,Vitamins,Health & Beauty,Port Harcourt,Port Harcourt,1,3900.0,0.05,3705.0,USSD,2021-10-29,7,No,SP-037,2021,October,4,Friday,3900.0,False
ORD-100042,CUST-01181,Michael Smith,whill@example.org,Curtains,Home & Kitchen,Benin City,Benin City,8,14500.0,0.15,98600.0,Cash,2023-03-30,13,No,SP-012,2023,March,1,Thursday,116000.0,False
ORD-100043,CUST-18404,Stuart Sanchez,hwhite@example.org,LEGO Set,Toys,Port Harcourt,Port Harcourt,15,5600.0,0.05,79800.0,POS,2021-09-06,10,No,SP-049,2021,September,3,Monday,84000.0,False
ORD-100044,CUST-09101,Sara Bishop,shannon55@example.com,Art Kit,Toys,Benin City,Benin City,16,9100.0,0.2,116480.0,Online,2021-11-22,5,No,SP-034,2021,November,4,Monday,145600.0,False
ORD-100045,CUST-09903,Melody Kelly,yolanda73@example.net,RC Car,Toys,Ibadan,Ibadan,3,11900.0,0.0,35700.0,Transfer,2023-06-20,6,No,SP-006,2023,June,2,Tuesday,35700.0,True
ORD-100046,CUST-14594,Theresa Rubio,stevensonmorgan@example.net,Olive Oil,Food & Beverage,Port Harcourt,Port Harcourt,5,5900.0,0.0,29500.0,USSD,2023-02-24,6,No,SP-027,2023,February,1,Friday,29500.0,True
ORD-100047,CUST-19864,Jeffrey Johnson MD,carrolljeffrey@example.com,Smart TV,Electronics,Kaduna,Kaduna,19,120100.0,0.0,2281900.0,USSD,2023-03-09,8,No,SP-023,2023,March,1,Thursday,2281900.0,True
ORD-100048,CUST-16913,Haley James,alexandra64@example.com,Toothpaste,Health & Beauty,Kaduna,Kaduna,16,5500.0,0.05,83600.0,Cash,2022-03-28,7,No,SP-044,2022,March,1,Monday,88000.0,False
ORD-100049,CUST-19493,Jennifer Anthony,schultzbryan@example.net,Self-Help,Books,Benin City,Benin City,20,5800.0,0.05,110200.0,Online,2021-09-19,1,No,SP-028,2021,September,3,Sunday,116000.0,False
ORD-100050,CUST-15899,Rachel Lawrence,wagnercory@example.org,Tea Bags,Food & Beverage,Kano,Kano,9,4100.0,0.0,36900.0,Transfer,2021-04-13,6,No,SP-025,2021,April,2,Tuesday,36900.0,True
ORD-100051,CUST-02706,Marie Solomon,carterpaula@example.net,Toothpaste,Health & Beauty,Ibadan,Ibadan,16,3700.0,0.1,53280.0,Transfer,2021-06-17,4,No,SP-050,2021,June,2,Thursday,59200.0,False
ORD-100052,CUST-05136,Timothy Myers,jason15@example.net,Laptop,Electronics,Port Harcourt,Port Harcourt,1,90900.0,0.0,90900.0,USSD,2022-02-13,11,No,SP-014,2022,February,1,Sunday,90900.0,True
ORD-100053,CUST-04753,Nicholas Martin,zacharyhancock@example.org,Puzzle,Toys,Enugu,Enugu,20,10800.0,0.15,183600.0,Card,2021-12-10,5,No,SP-002,2021,December,4,Friday,216000.0,False
ORD-100054,CUST-08957,Linda Robertson,ealvarez@example.net,Toothpaste,Health & Beauty,Kaduna,Kaduna,3,8800.0,0.2,21120.0,Cash,2022-02-11,12,No,SP-044,2022,February,1,Friday,26400.0,False
ORD-100055,CUST-17579,Michael George,kathy25@example.org,T-Shirt,Clothing,Enugu,Enugu,14,15100.0,0.0,211400.0,Online,2023-12-28,6,No,SP-027,2023,December,4,Thursday,211400.0,True
ORD-100056,CUST-06771,Brianna Cox,atkinsraymond@example.net,Doll,Toys,Kaduna,Kaduna,15,11800.0,0.05,168150.0,Online,2023-01-12,9,Yes,SP-018,2023,January,1,Thursday,177000.0,False
ORD-100057,CUST-03839,Crystal Scott,danny75@example.com,Stuffed Animal,Toys,Kaduna,Kaduna,11,13400.0,0.2,117920.0,Transfer,2022-07-04,8,No,SP-030,2022,July,3,Monday,147400.0,False
ORD-100058,CUST-12626,Amy Jones,aknapp@example.net,Cookbook,Books,Lagos,Lagos,11,3600.0,0.0,39600.0,Transfer,2023-10-10,6,No,SP-039,2023,October,4,Tuesday,39600.0,True
ORD-100059,CUST-19192,Matthew Franco,hodgeedward@example.com,Face Cream,Health & Beauty,Port Harcourt,Port Harcourt,8,10000.0,0.05,76000.0,Card,2021-06-25,12,No,SP-046,2021,June,2,Friday,80000.0,False
ORD-100060,CUST-08972,Thomas Thomas,douglas84@example.org,Stuffed Animal,Toys,Lagos,Lagos,10,6600.0,0.15,56100.0,Transfer,2021-07-10,11,No,SP-031,2021,July,3,Saturday,66000.0,False
ORD-100061,CUST-08554,Jacqueline Zhang,amandathompson@example.org,Gym Bag,Sports,Enugu,Enugu,15,14300.0,0.0,214500.0,Cash,2022-12-22,12,No,SP-008,2022,December,4,Thursday,214500.0,True
ORD-100062,CUST-18191,Jessica Reyes,allenjuan@example.net,Coffee Beans,Food & Beverage,Port Harcourt,Port Harcourt,9,6000.0,0.2,43200.0,POS,2023-09-19,5,Yes,SP-013,2023,September,3,Tuesday,54000.0,False
ORD-100063,CUST-05147,Dominic Lane,christopher29@example.com,Vitamins,Health & Beauty,Enugu,Enugu,10,3600.0,0.1,32400.0,Transfer,2022-01-03,1,Yes,SP-036,2022,January,1,Monday,36000.0,False
ORD-100064,CUST-16686,Sue Nguyen DDS,hortonfrank@example.org,Body Lotion,Health & Beauty,Benin City,Benin City,1,8700.0,0.05,8265.0,USSD,2021-07-30,6,No,SP-004,2021,July,3,Friday,8700.0,False
ORD-100065,CUST-02756,Teresa Cantu,garciatonya@example.net,Hair Dye,Health & Beauty,Abuja,Abuja,13,7900.0,0.1,92430.0,Card,2021-05-14,3,No,SP-020,2021,May,2,Friday,102700.0,False
ORD-100066,CUST-08395,Meghan Walters,derek97@example.org,Jacket,Clothing,Abuja,Abuja,20,14200.0,0.1,255600.0,POS,2023-05-03,7,No,SP-029,2023,May,2,Wednesday,284000.0,False
ORD-100067,CUST-07808,Tracy Spencer,randy80@example.com,Toothpaste,Health & Beauty,Ibadan,Ibadan,20,12100.0,0.0,242000.0,Online,2021-05-04,4,No,SP-006,2021,May,2,Tuesday,242000.0,True
ORD-100068,CUST-16398,Shannon Kelly,powelljason@example.org,Coffee Beans,Food & Beverage,Kano,Kano,6,2100.0,0.05,11970.0,Transfer,2021-06-03,1,No,SP-046,2021,June,2,Thursday,12600.0,False
ORD-100069,CUST-07482,Mitchell Cameron DVM,scottdennis@example.org,Hair Dye,Health & Beauty,Abuja,Abuja,9,10600.0,0.15,81090.0,USSD,2022-04-24,2,No,SP-042,2022,April,2,Sunday,95400.0,False
ORD-100070,CUST-19651,David Gomez,megan45@example.net,Energy Drink,Food & Beverage,Kano,Kano,2,3000.0,0.0,6000.0,Transfer,2021-05-27,8,No,SP-045,2021,May,2,Thursday,6000.0,True
ORD-100071,CUST-02306,Russell Orr,maldonadomelinda@example.com,Toothpaste,Health & Beauty,Ibadan,Ibadan,18,7900.0,0.0,142200.0,USSD,2023-10-22,12,No,SP-017,2023,October,4,Sunday,142200.0,True
ORD-100072,CUST-06740,Andrew Adkins,privera@example.net,Smartphone,Electronics,Port Harcourt,Port Harcourt,9,86900.0,0.2,625680.0,USSD,2021-02-12,9,No,SP-018,2021,February,1,Friday,782100.0,False
ORD-100073,CUST-11520,Brandy Rice,rojasmike@example.org,Cornflakes,Food & Beverage,Benin City,Benin City,16,4000.0,0.0,64000.0,Online,2021-07-06,2,No,SP-022,2021,July,3,Tuesday,64000.0,True
ORD-100074,CUST-11306,Mary Warren,carl22@example.com,Children Book,Books,Ibadan,Ibadan,18,2700.0,0.0,48600.0,Transfer,2023-04-01,6,No,SP-050,2023,April,2,Saturday,48600.0,True
ORD-100075,CUST-17334,Jerry Hunter,elizabethrivera@example.net,Fiction Novel,Books,Benin City,Benin City,2,3600.0,0.0,7200.0,Online,2023-04-27,8,No,SP-014,2023,April,2,Thursday,7200.0,True
ORD-100076,CUST-08841,William Jones,michaellane@example.net,Body Lotion,Health & Beauty,Ibadan,Ibadan,16,4600.0,0.15,62560.0,Online,2023-06-17,3,No,SP-001,2023,June,2,Saturday,73600.0,False
ORD-100077,CUST-06045,Kristen Davila,michael62@example.net,Data Science Book,Books,Port Harcourt,Port Harcourt,15,8400.0,0.15,107100.0,USSD,2021-08-21,12,No,SP-046,2021,August,3,Saturday,126000.0,False
ORD-100078,CUST-13569,Amy Nash,cameron80@example.net,Toothpaste,Health & Beauty,Benin City,Benin City,8,7600.0,0.0,60800.0,Card,2023-08-26,10,No,SP-009,2023,August,3,Saturday,60800.0,True
ORD-100079,CUST-10268,Teresa Jackson,ilee@example.com,Sneakers,Clothing,Kaduna,Kaduna,17,9400.0,0.0,159800.0,Online,2022-11-28,5,No,SP-038,2022,November,4,Monday,159800.0,True
ORD-100080,CUST-18807,Katie Parker,chudson@example.org,Board Game,Toys,Benin City,Benin City,12,7800.0,0.2,74880.0,USSD,2023-09-19,8,Yes,SP-013,2023,September,3,Tuesday,93600.0,False
ORD-100081,CUST-13492,Katherine Gutierrez,latoya01@example.org,Curtains,Home & Kitchen,Port Harcourt,Port Harcourt,2,19100.0,0.05,36290.0,USSD,2023-04-22,11,No,SP-042,2023,April,2,Saturday,38200.0,False
ORD-100082,CUST-04288,Thomas Mathews,michaelchurch@example.org,Tea Bags,Food & Beverage,Lagos,Lagos,17,7300.0,0.0,124100.0,USSD,2021-09-16,2,No,SP-030,2021,September,3,Thursday,124100.0,True
ORD-100083,CUST-12093,Ann Cline,fthomas@example.net,Headphones,Electronics,Kaduna,Kaduna,3,77300.0,0.0,231900.0,POS,2021-11-13,12,No,SP-006,2021,November,4,Saturday,231900.0,True
ORD-100084,CUST-08692,Nathan Flores,kmcdowell@example.net,Gym Bag,Sports,Enugu,Enugu,18,9200.0,0.0,165600.0,Online,2023-09-27,11,Yes,SP-015,2023,September,3,Wednesday,165600.0,True
ORD-100085,CUST-01948,John Kennedy,qmyers@example.org,Suit,Clothing,Abuja,Abuja,15,8000.0,0.0,120000.0,Cash,2021-07-25,6,No,SP-019,2021,July,3,Sunday,120000.0,True
ORD-100086,CUST-06900,Steven Jones,bhenderson@example.net,Bicycle Helmet,Sports,Kaduna,Kaduna,8,19900.0,0.1,143280.0,Card,2021-10-26,3,No,SP-025,2021,October,4,Tuesday,159200.0,False
ORD-100087,CUST-09366,James Butler,andersenteresa@example.org,Pillow Set,Home & Kitchen,Kano,Kano,15,27700.0,0.05,394725.0,Online,2022-04-21,1,No,SP-030,2022,April,2,Thursday,415500.0,False
ORD-100088,CUST-14903,Jonathan Navarro,qthomas@example.org,Body Lotion,Health & Beauty,Abuja,Abuja,12,12400.0,0.0,148800.0,Online,2023-06-24,5,No,SP-020,2023,June,2,Saturday,148800.0,True
ORD-100089,CUST-19835,Bradley Zimmerman,hdavis@example.net,Curtains,Home & Kitchen,Benin City,Benin City,8,20800.0,0.0,166400.0,Transfer,2021-08-07,12,No,SP-043,2021,August,3,Saturday,166400.0,True
ORD-100090,CUST-10378,Melissa Cabrera,denise16@example.org,Science Fiction,Books,Lagos,Lagos,20,7100.0,0.2,113600.0,Card,2021-04-11,10,No,SP-015,2021,April,2,Sunday,142000.0,False
ORD-100091,CUST-02093,Bethany Hernandez,matthew48@example.org,Kettle,Home & Kitchen,Kano,Kano,2,18800.0,0.05,35720.0,POS,2021-07-18,6,No,SP-006,2021,July,3,Sunday,37600.0,False
ORD-100092,CUST-12988,Richard Lynch,jdean@example.net,Sunscreen,Health & Beauty,Kaduna,Kaduna,7,4700.0,0.1,29610.0,POS,2021-12-26,9,No,SP-011,2021,December,4,Sunday,32900.0,False
ORD-100093,CUST-05612,Karen Kelly,jessica80@example.net,Hair Dye,Health & Beauty,Ibadan,Ibadan,4,7700.0,0.0,30800.0,Card,2022-11-25,14,No,SP-044,2022,November,4,Friday,30800.0,True
ORD-100094,CUST-15902,Thomas Walker,vbarron@example.org,Cookbook,Books,Abuja,Abuja,1,4100.0,0.0,4100.0,Transfer,2023-03-20,11,No,SP-017,2023,March,1,Monday,4100.0,True
ORD-100095,CUST-11748,Natalie Chang,zmaynard@example.org,Cookbook,Books,Abuja,Abuja,16,2600.0,0.1,37440.0,POS,2022-04-24,4,No,SP-041,2022,April,2,Sunday,41600.0,False
ORD-100096,CUST-10973,James Evans,ilewis@example.net,Puzzle,Toys,Kaduna,Kaduna,5,4700.0,0.0,23500.0,USSD,2021-08-27,2,No,SP-035,2021,August,3,Friday,23500.0,True
ORD-100097,CUST-06063,George Rodriguez,fkim@example.net,Cornflakes,Food & Beverage,Benin City,Benin City,18,4400.0,0.15,67320.0,USSD,2023-01-30,11,No,SP-032,2023,January,1,Monday,79200.0,False
ORD-100098,CUST-12884,Maria Allen,janet62@example.com,Science Fiction,Books,Lagos,Lagos,7,5200.0,0.0,36400.0,Cash,2023-01-29,11,No,SP-042,2023,January,1,Sunday,36400.0,True
ORD-100099,CUST-15900,Johnathan Oconnor,orrjohn@example.net,Running Shoes,Sports,Kaduna,Kaduna,7,29300.0,0.2,164080.0,Cash,2022-07-20,11,No,SP-041,2022,July,3,Wednesday,205100.0,False
ORD-100100,CUST-03248,Dustin Mcfarland,abrock@example.com,Laptop,Electronics,Enugu,Enugu,5,105800.0,0.0,529000.0,POS,2022-05-14,4,No,SP-015,2022,May,2,Saturday,529000.0,True
ORD-100101,CUST-09213,Daniel Ibarra DDS,bvalencia@example.net,Dumbbells,Sports,Lagos,Lagos,5,29700.0,0.1,133650.0,Card,2022-07-22,2,No,SP-002,2022,July,3,Friday,148500.0,False
ORD-100102,CUST-09695,Adam Gray,jkhan@example.com,Rice (5kg),Food & Beverage,Enugu,Enugu,19,3800.0,0.0,72200.0,Cash,2022-05-03,3,No,SP-034,2022,May,2,Tuesday,72200.0,True
ORD-100103,CUST-15811,Aaron Bates,henryalexander@example.com,Jeans,Clothing,Benin City,Benin City,12,13000.0,0.0,156000.0,POS,2023-07-08,4,Yes,SP-003,2023,July,3,Saturday,156000.0,True
ORD-100104,CUST-04537,Robert Johnson,joseesparza@example.com,Hair Dye,Health & Beauty,Lagos,Lagos,16,11100.0,0.05,168720.0,USSD,2021-05-05,12,No,SP-005,2021,May,2,Wednesday,177600.0,False
ORD-100105,CUST-18968,Maria Johnson,jbentley@example.org,Sandals,Clothing,Kano,Kano,5,9600.0,0.15,40800.0,Online,2021-05-15,6,No,SP-039,2021,May,2,Saturday,48000.0,False
ORD-100106,CUST-19066,Traci Gross,jensenjoanne@example.net,Hair Dye,Health & Beauty,Kaduna,Kaduna,4,11200.0,0.15,38080.0,Online,2021-07-23,14,No,SP-029,2021,July,3,Friday,44800.0,False
ORD-100107,CUST-11241,Tara Lee,branchrobert@example.com,Curtains,Home & Kitchen,Enugu,Enugu,13,21700.0,0.0,282100.0,USSD,2023-07-18,6,No,SP-024,2023,July,3,Tuesday,282100.0,True
ORD-100108,CUST-13210,Jonathan Carter,carriejohnson@example.org,Tea Bags,Food & Beverage,Abuja,Abuja,3,2600.0,0.0,7800.0,Card,2021-07-06,9,No,SP-036,2021,July,3,Tuesday,7800.0,True
ORD-100109,CUST-02685,Haley Rodriguez,coffeyaustin@example.org,Yoga Mat,Sports,Kaduna,Kaduna,14,27200.0,0.15,323680.0,Transfer,2022-12-26,10,No,SP-007,2022,December,4,Monday,380800.0,False
ORD-100110,CUST-13044,Benjamin Fischer,anguyen@example.com,Knife Set,Home & Kitchen,Benin City,Benin City,4,20000.0,0.1,72000.0,Cash,2022-04-05,13,No,SP-015,2022,April,2,Tuesday,80000.0,False
ORD-100111,CUST-11124,Mary Navarro,jennyhood@example.com,Fiction Novel,Books,Ibadan,Ibadan,6,4200.0,0.2,20160.0,Transfer,2021-03-01,6,No,SP-010,2021,March,1,Monday,25200.0,False
ORD-100112,CUST-13327,Maria Garrett,ybanks@example.com,Data Science Book,Books,Kano,Kano,3,7200.0,0.0,21600.0,USSD,2021-03-04,8,No,SP-024,2021,March,1,Thursday,21600.0,True
ORD-100113,CUST-02630,Ryan Ferguson,ashleyyoung@example.org,Sunscreen,Health & Beauty,Abuja,Abuja,5,4900.0,0.1,22050.0,Online,2021-04-18,2,No,SP-043,2021,April,2,Sunday,24500.0,False
ORD-100114,CUST-04729,Paige Thompson,ashleybeasley@example.org,Children Book,Books,Benin City,Benin City,9,3800.0,0.1,30780.0,Transfer,2023-04-29,7,No,SP-044,2023,April,2,Saturday,34200.0,False
ORD-100115,CUST-01251,Scott Arnold,smithnancy@example.com,Puzzle,Toys,Lagos,Lagos,13,14800.0,0.0,192400.0,Card,2022-03-28,5,Yes,SP-050,2022,March,1,Monday,192400.0,True
ORD-100116,CUST-15111,Michael Boyer,juarezanne@example.com,Energy Drink,Food & Beverage,Ibadan,Ibadan,4,2100.0,0.15,7140.0,Card,2022-11-03,3,No,SP-046,2022,November,4,Thursday,8400.0,False
ORD-100117,CUST-03551,Alyssa Castro,ylee@example.org,Toaster,Home & Kitchen,Abuja,Abuja,2,22300.0,0.05,42370.0,Transfer,2023-03-25,10,No,SP-026,2023,March,1,Saturday,44600.0,False
ORD-100118,CUST-16076,John Reed,thomasdaniel@example.org,Science Fiction,Books,Abuja,Abuja,1,8500.0,0.0,8500.0,Online,2023-04-10,6,No,SP-007,2023,April,2,Monday,8500.0,True
ORD-100119,CUST-12125,Steven Glenn,eric08@example.com,Curtains,Home & Kitchen,Kaduna,Kaduna,3,21200.0,0.0,63600.0,Card,2023-12-10,6,No,SP-005,2023,December,4,Sunday,63600.0,True
ORD-100120,CUST-09387,Joshua Mcdonald,gmack@example.net,Jacket,Clothing,Enugu,Enugu,5,9000.0,0.0,45000.0,Card,2022-12-21,3,No,SP-049,2022,December,4,Wednesday,45000.0,True
ORD-100121,CUST-19497,Jerry Francis,david14@example.com,Dress,Clothing,Benin City,Benin City,19,16500.0,0.05,297825.0,Online,2023-08-09,11,Yes,SP-021,2023,August,3,Wednesday,313500.0,False
ORD-100122,CUST-10000,Bradley Hurst,manninglauren@example.net,Dumbbells,Sports,Benin City,Benin City,16,18000.0,0.0,288000.0,POS,2021-05-20,1,No,SP-005,2021,May,2,Thursday,288000.0,True
ORD-100123,CUST-03514,Eileen Jones,christina02@example.net,Hair Dye,Health & Beauty,Benin City,Benin City,2,6800.0,0.0,13600.0,Online,2021-03-19,14,Yes,SP-006,2021,March,1,Friday,13600.0,True
ORD-100124,CUST-16585,Louis Dawson,fitzgeraldmary@example.org,Children Book,Books,Lagos,Lagos,19,6600.0,0.0,125400.0,POS,2023-07-11,3,Yes,SP-029,2023,July,3,Tuesday,125400.0,True
